GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
product-service,com.smartcart.productservice.service,ReviewService,0,26,1,3,0,4,1,3,0,2
product-service,com.smartcart.productservice.service,ProductService,15,90,1,1,2,20,3,8,2,8
product-service,com.smartcart.productservice.exception,GlobalExceptionHandler,48,7,0,0,16,2,2,2,2,2
product-service,com.smartcart.productservice.aop,LoggingAspect,87,0,0,0,13,0,3,0,3,0
product-service,com.smartcart.productservice.controller,ReviewController,0,18,0,0,0,3,0,2,0,2
product-service,com.smartcart.productservice.controller,ProductController,6,53,0,0,1,9,1,8,1,8
product-service,com.smartcart.productservice,ProductServiceApplication,5,3,0,0,2,1,1,1,1,1
