GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-gateway,default,SecretKeyGenerator,15,0,0,0,5,0,2,0,2,0
api-gateway,com.smartcart.apigateway.util,JwtUtil,0,39,0,0,0,7,0,5,0,5
api-gateway,com.smartcart.apigateway,ApiGatewayApplication,8,0,0,0,3,0,2,0,2,0
api-gateway,com.smartcart.apigateway.filter,AuthenticationFilter.Config,0,3,0,0,0,1,0,1,0,1
api-gateway,com.smartcart.apigateway.filter,RouteValidator,27,0,0,0,13,0,4,0,4,0
api-gateway,com.smartcart.apigateway.filter,AuthenticationFilter,12,126,13,17,0,29,10,8,0,3
