GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wishlist-service,com.smartcart.wishlistservice.service,WishlistService,0,49,0,2,0,12,0,5,0,4
wishlist-service,com.smartcart.wishlistservice.controller,WishlistController,0,21,0,0,0,4,0,3,0,3
wishlist-service,com.smartcart.wishlistservice.aop,LoggingAspect,11,0,0,0,4,0,3,0,3,0
wishlist-service,com.smartcart.wishlistservice.exception,GlobalExceptionHandler,7,3,0,0,1,1,1,1,1,1
wishlist-service,com.smartcart.wishlistservice,WishlistServiceApplication,5,3,0,0,2,1,1,1,1,1
