GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cart-service,com.smartcart.cartservice.exception,GlobalExceptionHandler,48,7,0,0,16,2,2,2,2,2
cart-service,com.smartcart.cartservice,CartServiceApplication,5,3,0,0,2,1,1,1,1,1
cart-service,com.smartcart.cartservice.controller,CartController,7,20,0,0,1,3,1,3,1,3
cart-service,com.smartcart.cartservice.service,CartService,30,138,2,2,4,33,4,8,2,8
cart-service,com.smartcart.cartservice.aop,LoggingAspect,87,0,0,0,13,0,3,0,3,0
