GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-service,com.smartcart.userservice.controller,UserController,32,47,2,0,4,7,4,7,3,7
user-service,com.smartcart.userservice,UserServiceApplication,5,3,0,0,2,1,1,1,1,1
user-service,com.smartcart.userservice.exception,GlobalExceptionHandler,48,7,0,0,16,2,2,2,2,2
user-service,com.smartcart.userservice.service,UserServiceImpl,60,196,1,3,5,52,9,10,8,9
user-service,com.smartcart.userservice.aop,LoggingAspect,87,0,0,0,13,0,3,0,3,0
