GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification-service,com.smartcart.notificationservice.exception,GlobalExceptionHandler,48,7,0,0,16,2,2,2,2,2
notification-service,com.smartcart.notificationservice.controller,NotificationController,0,23,0,0,0,5,0,3,0,3
notification-service,com.smartcart.notificationservice.listener,NotificationListener,0,12,0,0,0,6,0,1,0,1
notification-service,com.smartcart.notificationservice.aop,LoggingAspect,87,0,0,0,13,0,3,0,3,0
notification-service,com.smartcart.notificationservice.client,UserClient.UserDto,14,10,0,0,4,3,4,3,4,3
notification-service,com.smartcart.notificationservice.service,NotificationService,0,93,2,2,0,27,2,4,0,4
notification-service,com.smartcart.notificationservice,NotificationServiceApplication,5,3,0,0,2,1,1,1,1,1
